Sheet Name,Column Name,Row Count,Non-Empty Count
"المخزون المتاح BIT","Column_1",224,0
"المخزون المتاح BIT","Column_2",224,223
"المخزون المتاح BIT","Column_3",224,223
"المخزون المتاح BIT","Column_4",224,223
"المخزون المتاح BIT","Column_5",224,223
"المخزون المتاح BIT","Column_6",224,224
"المخزون المتاح BIT","Column_7",224,224
"المخزون المتاح BIT","Column_8",224,223
"المخزون المتاح BIT","Column_9",224,223
"المخزون المتاح BIT","Column_10",224,223
"المخزون المتاح BIT","Column_11",224,223
"المخزون المتاح BIT","Column_12",224,223
"المخزون المتاح BIT","Column_13",224,223
"المخزون المتاح BIT","Column_14",224,223
"المخزون المتاح BIT","Column_15",224,223
"المحجوز  BIT","Column_1",198,0
"المحجوز  BIT","Column_2",198,197
"المحجوز  BIT","Column_3",198,196
"المحجوز  BIT","Column_4",198,196
"المحجوز  BIT","Column_5",198,196
"المحجوز  BIT","Column_6",198,196
"المحجوز  BIT","Column_7",198,10
"المحجوز  BIT","Column_8",198,196
"المحجوز  BIT","Column_9",198,196
"المحجوز  BIT","Column_10",198,196
"المحجوز  BIT","Column_11",198,196
"المحجوز  BIT","Column_12",198,196
"المحجوز  BIT","Column_13",198,196
"المحجوز  BIT","Column_14",198,196
"المحجوز  BIT","Column_15",198,196
"المحجوز  BIT","Column_16",198,196
"المحجوز  BIT","Column_17",198,196
"المحجوز  BIT","Column_18",198,196
"المحجوز  BIT","Column_19",198,196
"المحجوز  BIT","Column_20",198,196
"المخزون المتاح All Retail","Column_1",1310,0
"المخزون المتاح All Retail","Column_2",1310,1307
"المخزون المتاح All Retail","Column_3",1310,1308
"المخزون المتاح All Retail","Column_4",1310,1307
"المخزون المتاح All Retail","Column_5",1310,1307
"المخزون المتاح All Retail","Column_6",1310,1308
"المخزون المتاح All Retail","Column_7",1310,1308
"المخزون المتاح All Retail","Column_8",1310,1307
"المخزون المتاح All Retail","Column_9",1310,1307
"المخزون المتاح All Retail","Column_10",1310,1307
"المخزون المتاح All Retail","Column_11",1310,1307
"المخزون المتاح All Retail","Column_12",1310,1307
"المخزون المتاح All Retail","Column_13",1310,1307
"المخزون المتاح All Retail","Column_14",1310,1307
"FS","Column_1",4,0
"FS","Column_2",4,3
"FS","Column_3",4,3
"FS","Column_4",4,3
"FS","Column_5",4,3
"FS","Column_6",4,4
"FS","Column_7",4,4
"FS","Column_8",4,3
"FS","Column_9",4,3
"FS","Column_10",4,3
"FS","Column_11",4,3
"FS","Column_12",4,3
"FS","Column_13",4,3
"FS","Column_14",4,3
"FS","Column_15",4,3
"Display  1","Column_1",14,0
"Display  1","Column_2",14,13
"Display  1","Column_3",14,14
"Display  1","Column_4",14,13
"Display  1","Column_5",14,13
"Display  1","Column_6",14,13
"Display  1","Column_7",14,13
"Display  1","Column_8",14,13
"Display  1","Column_9",14,13
